Agency,Region,Year,Stops,Indexed
Carterville Police Dept,Southwest,2024,24,52.2
Carthage Police Dept,Southwest,2014,840,100.0
Carthage Police Dept,Southwest,2015,1067,127.0
Carthage Police Dept,Southwest,2016,961,114.4
Carthage Police Dept,Southwest,2017,780,92.9
Carthage Police Dept,Southwest,2018,1037,123.5
Carthage Police Dept,Southwest,2019,543,64.6
Carthage Police Dept,Southwest,2020,301,35.8
Carthage Police Dept,Southwest,2021,739,88.0
Carthage Police Dept,Southwest,2022,859,102.3
Carthage Police Dept,Southwest,2023,779,92.7
Carthage Police Dept,Southwest,2024,691,82.3
Cassville Police Dept,Southwest,2014,16,100.0
Cassville Police Dept,Southwest,2015,17,106.2
Cassville Police Dept,Southwest,2016,15,93.8
Cassville Police Dept,Southwest,2017,27,168.8
Cassville Police Dept,Southwest,2018,28,175.0
Cassville Police Dept,Southwest,2019,61,381.2
Cassville Police Dept,Southwest,2020,24,150.0
Cassville Police Dept,Southwest,2021,20,125.0
Cassville Police Dept,Southwest,2022,28,175.0
Cassville Police Dept,Southwest,2023,44,275.0
Cassville Police Dept,Southwest,2024,98,612.5
Christian County Sheriff's Dept,Southwest,2014,21,100.0
Christian County Sheriff's Dept,Southwest,2015,53,252.4
